STATE_FDID,STATE,FDID,DEPT_NAME,DEPT_TYPE,TOTAL_INCIDENTS,FIRE_INCIDENTS,STRUCTURE_FIRES,EMS_INCIDENTS,RESPONSE_TIME_AVG,CONTAINMENT_RATE,PROP_LOSS_ADJ,PROP_LOSS_USD,TOTAL_FF,FF_PER_1000_INC,STATIONS,STA_PER_1000,CAREER_PCT,CIV_CAS_PER_1000,FF_INJ_PER_1000,DATA_QUALITY,PEER_GROUP,RESP_NP,CONT_NP,PL_NP,FF1000_NP,RESP_PP,CONT_PP,PL_PP,FF1000_PP
CO-3730,CO,3730,GYPSUM FPD,Volunteer,82,44,14,0,21.2469,66.6667,0.4715,29000.0,49,597.561,1,12.1951,8.1633,0.0,0.0,100,XS,31.891,76.1741,94.896,76.1894,32.928,76.1401,94.7797,75.365
CO-4154,CO,4154,HANOVER FD,Volunteer,191,178,95,0,25.8207,37.5,40.0,30000.0,24,125.6545,1,5.2356,0.0,0.0,0.0,100,XS,17.0412,43.8167,43.6335,48.3016,17.6081,45.2978,45.7685,47.7479
CO-2935,CO,2935,HOTCHKISS DIVDELTA CTY FPD4,Volunteer,39,30,8,0,27.0,33.3333,,0.0,26,666.6667,2,51.2821,0.0,0.0,0.0,100,XS,14.2269,39.1038,,78.6364,14.7089,40.5231,,77.8877
CO-12339,CO,12339,HUDSON FD,Volunteer,72,42,8,0,12.4925,33.3333,,1226252.0,26,361.1111,1,13.8889,0.0,0.0,95.2381,100,XS,75.5395,39.1038,,64.5237,76.8761,40.5231,,63.3745
CO-4935,CO,4935,KREMMLING FPD,Volunteer,31,24,10,0,27.6667,50.0,,0.0,19,612.9032,2,64.5161,5.2632,41.6667,0.0,100,XS,12.817,57.9685,,76.7501,13.2594,59.0658,,75.9457
CO-6110,CO,6110,Kiowa County Fire Protection District,Volunteer,22,20,5,0,23.5455,50.0,,0.0,20,909.0909,1,45.4545,0.0,0.0,0.0,100,XS,23.782,57.9685,,85.2831,24.5764,59.0658,,84.7652
CO-8920,CO,8920,LA JUNTA RURAL FPD,Volunteer,105,65,21,0,12.4135,50.0,,1277100.0,59,561.9048,3,28.5714,10.1695,0.0,0.0,100,XS,75.9455,57.9685,,74.8204,77.2795,59.0658,,73.9641
CO-1354,CO,1354,LAFAYETTE FD,Volunteer,166,70,33,0,10.5671,57.1429,6.75,135000.0,62,373.494,1,6.0241,3.2258,0.0,0.0,100,XS,85.5284,67.4505,77.7883,65.2259,86.3573,68.2248,78.9298,64.0961
CO-9930,CO,9930,LAMAR FD,Volunteer,100,44,17,0,8.9195,66.6667,,130500.0,37,370.0,3,30.0,18.9189,0.0,0.0,100,XS,92.1802,76.1741,,65.0381,92.4841,76.1401,,63.9016
CO-6515,CO,6515,LEADVILLELAKE CTY FIRE RESCUE,Volunteer,84,21,14,0,16.9634,77.7778,32.2619,51400.0,25,297.619,1,11.9048,44.0,0.0,0.0,100,XS,51.2681,84.0034,49.2844,60.969,52.7147,83.6132,51.316,59.8117
